seller_state,seller_count,total_orders,total_revenue,avg_seller_performance,avg_rating,unique_products_sold
SP,1769,68641,8548955.78,108.11,4.05,22412
PR,335,7512,1240516.38,144.87,4.13,2928
MG,236,7735,981274.22,113.47,4.16,2692
RJ,163,4227,823390.38,175.11,4.17,1476
SC,184,3603,615030.19,153.22,4.13,1414
RS,125,1962,375865.84,172.42,4.25,769
BA,18,550,278046.51,444.16,4.16,122
DF,30,808,94912.19,107.25,4.07,374
PE,9,403,91164.15,204.86,4.15,63
GO,39,451,64886.49,127.48,4.31,233
ES,22,310,46941.64,128.96,4.07,97
MA,1,389,36220.97,89.88,4.03,44
CE,12,87,19517.84,216.86,4.28,27
MT,4,136,17007.82,118.11,4.19,60
PB,6,35,16395.5,443.12,3.94,28
RN,5,51,9992.6,178.44,4.27,13
MS,5,49,8551.69,171.03,4.47,30
RO,2,14,4762.2,340.16,3.86,11
PI,1,11,2383.0,216.64,4.36,4
SE,2,9,1606.2,160.62,3.9,6
PA,1,8,1238.0,154.75,4.5,7
AM,1,3,1177.0,392.33,2.33,3
